year,figure,breakdown,disaggregation,indicator,measure
2000,51,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,50,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,50,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,53,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,50,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,51,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,51,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,52,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,53,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,55,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,55,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,56,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,55,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,55,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,56,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,56,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,56.7,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,57,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,57.4,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,57,Total,Total,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
1999,62,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2000,61,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,62,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,65,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,65,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,64,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,64,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,63,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,67,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,66,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,69,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,72,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,69,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,67,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,69,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,67,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,71,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,69,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,70,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,69,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,70,Accessible rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
1999,56,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2000,51,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,52,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,54,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,56,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,51,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,52,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,54,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,52,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,56,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,58,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,54,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,61,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,60,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,62,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,62,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,58,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,60,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,59,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,60,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,60,Accessible small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
1999,42,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2000,45,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,42,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,44,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,47,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,44,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,44,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,43,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,45,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,47,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,49,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,49,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,50,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,50,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,49,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,49,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,50,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,51,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,53,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,53,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,50,Large urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
1999,48,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2000,51,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,50,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,46,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,49,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,48,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,48,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,48,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,48,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,51,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,51,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,52,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,52,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,52,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,51,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,54,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,54,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,55,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,53,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,54,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,55,Other urban areas,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
1999,62,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2000,69,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,64,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,68,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,74,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,71,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,77,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,78,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,76,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,76,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,79,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,77,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,75,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,75,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,73,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,72,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,73,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,75,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,76,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,77,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,80,Remote rural,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
1999,56,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2000,57,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,60,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,61,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,64,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,57,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,60,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,61,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,60,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,59,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,57,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,65,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,66,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,58,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,60,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,60,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,61,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,56,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,65,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,60,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,57,Remote small towns,Urban Rural classification,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2020,39,16 to 24,Age,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,48,25 to 34,Age,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,59,35 to 44,Age,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,63,45 to 59,Age,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,67,60 to 74,Age,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,76,75 and over,Age,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,57,Yes,Disability,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,60,No,Disability,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,52,White,Ethnicity,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,42,Other ethnic minority groups,Ethnicity,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,59,Male,Gender,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,60,Female,Gender,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,59,None,Religion,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,69,Church of Scotland,Religion,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,52,Roman Catholic,Religion,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,58,Other Christian,Religion,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,31,1 - Most Deprived,Scottish Index of Multiple Deprivation,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,46,2,Scottish Index of Multiple Deprivation,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,62,3,Scottish Index of Multiple Deprivation,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,68,4,Scottish Index of Multiple Deprivation,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,81,5 - Least Deprived,Scottish Index of Multiple Deprivation,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,51,Large urban areas,Urban Rural classification,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,58,Other urban areas,Urban Rural classification,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,64,Accessible small towns,Urban Rural classification,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,71,Remote small towns,Urban Rural classification,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,72,Accessible rural,Urban Rural classification,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,78,Remote rural,Urban Rural classification,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2020,59,Total,Total,Perceptions of local area (2020),The percentage of adults who rate their neighbourhood as a very good place to live
2018,56.6,16 to 24,Age,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,55.7,16 to 24,Age,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,58.4,25 to 34,Age,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,57,25 to 34,Age,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,58.3,35 to 44,Age,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,54.9,35 to 44,Age,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,58.7,45 to 54,Age,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,57.2,45 to 54,Age,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,59.2,55  to  64,Age,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,57.6,55  to  64,Age,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,61.7,65 to 74,Age,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,57,65 to 74,Age,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,59.9,75+,Age,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,61.2,75+,Age,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,68.3,Other minority ethnic,Ethnicity,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,51.1,Other minority ethnic,Ethnicity,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,58.6,White,Ethnicity,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,57.4,White,Ethnicity,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,58.9,Female,Gender,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,57.6,Female,Gender,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,58.9,Male,Gender,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,56.5,Male,Gender,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,60.2,No,Limiting long term physical or mental health condition,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,58.9,No,Limiting long term physical or mental health condition,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,54.5,Yes,Limiting long term physical or mental health condition,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,51.3,Yes,Limiting long term physical or mental health condition,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,65.2,Aberdeen City,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,48,Aberdeen City,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,71.2,Aberdeenshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,63.4,Aberdeenshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,46.4,Angus,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,43.8,Angus,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,51,Argyll & Bute,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,66.1,Argyll & Bute,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,56.6,Clackmannanshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,47.1,Clackmannanshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,51.2,Dumfries & Galloway,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,50.4,Dumfries & Galloway,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,54.9,Dundee City,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,57.5,Dundee City,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,46.3,East Ayrshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,44.3,East Ayrshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,69.7,East Dunbartonshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,58.6,East Dunbartonshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,65.3,East Lothian,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,65.4,East Lothian,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,72,East Renfrewshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,75.6,East Renfrewshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,68,"Edinburgh, City of",Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,64.3,"Edinburgh, City of",Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,47.8,Falkirk,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,48.4,Falkirk,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,66.7,Fife,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,70.3,Fife,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,58.9,Glasgow City,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,57.6,Glasgow City,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,58.1,Highland,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,59.8,Highland,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,55.1,Inverclyde,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,52.7,Inverclyde,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,62.6,Midlothian,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,54.5,Midlothian,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,50.9,Moray,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,54.3,Moray,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,51.1,Na-h Eileanan Siar,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,49.1,Na-h Eileanan Siar,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,60.2,North Ayrshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,50.2,North Ayrshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,39.5,North Lanarkshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,42.4,North Lanarkshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,67.4,Orkney Islands,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,77.7,Orkney Islands,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,75.7,Perth & Kinross,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,68.3,Perth & Kinross,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,64.8,Renfrewshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,62.1,Renfrewshire,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2018,63.7,Scottish Borders,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
2019,61.2,Scottish Borders,Local authority,Places to Interact,Percentage of respondents who are agree or strongly agree that there are places where people can meet up and socialise
